"BASE_PRICE","PRICE","WEEK_END_DATE","STORE_NUM","UPC","MANUFACTURER","DISPLAY","FEATURE","TPR_ONLY","UNITS"
3.23,3.23,40352,"29159","1111087396","PRIVATE LABEL",0,0,0,6
3.67,3.67,40905,"13859","1111087398","PRIVATE LABEL",0,0,0,5
6.59,6.59,40233,"17615","7218063979","TONYS",0,0,0,8
6.49,6.49,40142,"21485","7218063052","TONYS",0,0,0,3
3.3,3.3,40219,"15765","1111087398","PRIVATE LABEL",0,0,0,9
3.9,3.9,40891,"21227","1111087396","PRIVATE LABEL",0,0,0,10
4,3.12,40457,"21237","1111087395","PRIVATE LABEL",0,0,1,7
3.26,3.26,40429,"11967","1111087398","PRIVATE LABEL",0,0,0,9
6.49,6.49,40142,"10019","7218063983","TONYS",0,0,0,1
6.99,4.47,40100,"389","7192100336","TOMBSTONE",1,0,0,32
6.27,6.27,40296,"2277","7218063983","TONYS",0,0,0,15
3.26,3.26,40121,"25229","1111087395","PRIVATE LABEL",0,0,0,9
6.99,6.99,40492,"25027","7192100336","TOMBSTONE",0,0,0,8
6.59,6.59,40394,"4489","7192100339","TOMBSTONE",0,0,0,2
4.19,4.19,40856,"25021","1111087395","PRIVATE LABEL",0,0,0,8
7.49,7.49,40044,"26983","7192100337","TOMBSTONE",1,0,0,18
5.29,3.88,40695,"8041","1111087395","PRIVATE LABEL",0,0,1,8
7.29,7.29,40604,"11967","7218063979","TONYS",0,0,0,1
4,3.22,40457,"25001","1111087398","PRIVATE LABEL",0,0,1,11
6.99,6.99,40072,"23061","7192100337","TOMBSTONE",0,0,0,7
7.49,7.49,40849,"8263","7218063052","TONYS",0,0,0,5
6.27,4.99,40275,"23067","7218063979","TONYS",0,1,0,6
7.49,7.49,40702,"19521","7218063979","TONYS",0,0,0,3
6.29,5.29,39967,"28909","7192100336","TOMBSTONE",0,1,0,5
6.89,6.89,40674,"21213","7192100336","TOMBSTONE",0,0,0,5
6.59,6.59,40527,"4489","7192100337","TOMBSTONE",0,0,0,6
7.39,7.39,40723,"2279","7218063983","TONYS",0,0,0,4
6.89,6.89,40548,"23061","7218063052","TONYS",0,0,0,4
6.39,6.39,39869,"8263","7192100339","TOMBSTONE",0,0,0,11
4,4,39967,"21213","1111087398","PRIVATE LABEL",0,0,0,12
6.38,4.99,40058,"21237","7218063983","TONYS",1,0,0,14
4.7,4.7,40142,"15531","1111087398","PRIVATE LABEL",0,0,0,13
6.38,6.38,39981,"2281","7218063983","TONYS",0,0,0,6
5.49,5.49,40779,"25261","7192100337","TOMBSTONE",0,0,0,8
6.29,6.09,39827,"2523","7192100336","TOMBSTONE",0,1,0,8
3.98,3.98,40660,"6187","1111087398","PRIVATE LABEL",0,0,0,24
6.59,6.59,40520,"2523","7192100339","TOMBSTONE",0,0,0,5
3.31,3.31,39932,"25261","1111087398","PRIVATE LABEL",0,0,0,14
7.49,5.41,40863,"23327","7218063983","TONYS",0,1,0,6
6.99,4.99,40457,"11757","7192100339","TOMBSTONE",0,0,1,36
6.09,6.09,40821,"4245","2066200530","KING",0,0,0,11
6.99,6.99,40905,"2505","2066200530","KING",0,0,0,1
7.29,7.29,40597,"17627","7218063979","TONYS",0,0,0,5
6.59,6.59,40359,"11967","7192100339","TOMBSTONE",0,0,0,6
3.34,3.34,40065,"29159","1111087395","PRIVATE LABEL",0,0,0,7
3.4,3.4,40492,"9825","1111087395","PRIVATE LABEL",0,0,0,16
6.99,4.47,40093,"26973","7192100336","TOMBSTONE",1,0,0,26
6.99,6.99,40905,"21485","7218063979","TONYS",0,0,0,1
6.46,4.99,39862,"21227","7218063983","TONYS",1,0,0,39
